H_max[T],f[Hz],F_R[%],F_M_High[%],F_B[%],U_HB[-],dPCB[kPa],Tspan[K],dT_reg[K],Qc[W],Qh[W],Wpump[W],Wvalv[W],Wmotor[W],COP[-],Q_wall-Loss[W]
1.2,1,15,35,70,0.5965,103.5320462,20,20.66948454,151.3314952,235.2401757,42.21409644,64.372,10.88715793,1.2882,406.6124387
1.2,1,15,35,70,0.7953,150.4240559,20,20.43413592,104.7588102,229.7443488,81.78102053,64.372,7.53660505,0.6816,291.2466362
1.2,1,15,35,80,0.1988,24.39846294,20,20.92166936,73.70657927,103.3427863,2.88524935,73.82344444,5.3026316,0.8987,490.5119119
1.2,1,15,35,80,0.3977,53.49874446,20,20.83115117,131.9117855,187.6635792,12.65711497,73.82344444,9.49005651,1.3745,550.6360743
1.2,1,15,35,80,0.5965,87.30090521,20,20.68164945,154.382907,239.1981726,30.98969785,73.82344444,11.10668396,1.3318,488.6200791
1.2,1,15,35,80,0.7953,125.8049878,20,20.46076529,117.5498954,238.0230439,59.55704027,73.82344444,8.45682701,0.8288,361.460295
1.2,1,15,35,90,0.1988,21.43965555,20,20.89916444,67.092518,105.6734529,2.24250753,83.27488889,4.82679986,0.7426,720.2370962
1.2,1,15,35,90,0.3977,46.59437996,20,20.79776956,121.2328837,185.4403884,9.7475524,83.27488889,8.7217902,1.1915,826.1557204
1.2,1,15,35,90,0.5965,75.46421315,20,20.65136227,142.488993,233.4902498,23.68137296,83.27488889,10.25100669,1.2157,790.4892769
1.2,1,15,35,90,0.7953,108.0491844,20,20.43954371,108.0804762,231.1390527,45.21017064,83.27488889,7.77557383,0.7932,693.4701252
1.2,1,20,30,60,0.1988,33.68866204,20,20.88515738,75.77478866,94.27894009,5.3339558,55.176,5.45142364,1.1488,307.0511945
1.2,1,20,30,60,0.3977,75.81455404,20,20.79698975,129.4158109,176.8792292,24.00924036,55.176,9.31048999,1.4624,343.3520223
1.2,1,20,30,60,0.5965,126.3778425,20,20.62289488,137.6273704,221.5966742,60.03572787,55.176,9.90124967,1.1,285.3471574
1.2,1,20,30,60,0.7953,185.37863,20,20.36709987,75.26925661,207.3293069,117.4231215,55.176,5.41505443,0.4228,164.2817799
1.2,1,20,30,70,0.1988,28.32010001,20,20.89439381,74.49442951,97.58852948,3.84870337,64.372,5.35931148,1.0124,378.0696047
1.2,1,20,30,70,0.3977,62.83074925,20,20.80805944,130.3805717,180.6051311,17.07834678,64.372,9.37989725,1.4354,427.5306409
1.2,1,20,30,70,0.5965,103.5320462,20,20.64843719,146.0366554,228.4126704,42.21409644,64.372,10.5062342,1.2472,370.9035264
