f[Hz],F_B[%],H_max[T],H_max_equiv[T],U_HB[-],dPCB[kPa],Tspan[K],Qc[W],Qh[W],Wpump[W],Wvalv[W],Wmotor[W],COP[-]
1,75,1.544,1.4,0.3977,57.83968394,20,189.320048,224.2958371,14.68936378,68.97,13.62014734,1.9461
1,75,1.544,1.4,0.5965,94.84429483,20,233.2402226,299.6676278,36.12975739,68.97,16.77987213,1.9137
1,75,1.544,1.4,0.7953,137.2388303,20,219.5135812,326.6462214,69.70416576,68.97,15.79234397,1.4211
1,75,1.544,1.4,0.9942,185.0233261,20,121.6177551,280.5277322,117.4653627,68.97,8.74947879,0.6231
1,90,1.1,1,0.1988,21.43965555,20,37.34884649,47.57833594,2.24370179,83.27488889,2.68696737,0.4234
1,90,1.1,1,0.3977,46.59437996,20,54.70088439,81.28127825,9.75204294,83.27488889,3.93531542,0.5641
1,90,1.1,1,0.5965,75.46421315,20,37.73449011,86.36996718,23.69097833,83.27488889,2.71471152,0.344
1,90,1.1,1,0.7953,108.0491844,20,-29.93873426,47.95743496,45.22654242,83.27488889,-2.15386577,-0.237
1,90,1.1,1,0.9942,144.349315,20,-173.2192307,-57.4502496,75.52481199,83.27488889,-12.46181516,-1.1837
1,90,1.211,1.1,0.1988,21.43965555,20,53.51634172,64.69656117,2.24370179,83.27488889,3.85009653,0.5988
1,90,1.211,1.1,0.3977,46.59437996,20,86.99706219,115.6786761,9.75204294,83.27488889,6.25878145,0.8762
1,90,1.211,1.1,0.5965,75.46421315,20,85.85117813,137.7023073,23.69097833,83.27488889,6.17634375,0.7588
1,90,1.211,1.1,0.7953,108.0491844,20,33.68691822,115.8727859,45.22654242,83.27488889,2.4235193,0.2573
1,90,1.211,1.1,0.9942,144.349315,20,-94.22804491,26.80206042,75.52481199,83.27488889,-6.77899604,-0.6198
1,90,1.322,1.2,0.1988,21.43965555,20,67.95600408,79.99541704,2.24370179,83.27488889,4.88892116,0.7517
1,90,1.322,1.2,0.3977,46.59437996,20,115.7703073,146.3532026,9.75204294,83.27488889,8.32879909,1.1422
1,90,1.322,1.2,0.5965,75.46421315,20,128.6637245,183.4064605,23.69097833,83.27488889,9.25638306,1.107
1,90,1.322,1.2,0.7953,108.0491844,20,90.26755628,176.3185248,45.22654242,83.27488889,6.4940688,0.6687
1,90,1.322,1.2,0.9942,144.349315,20,-24.01839543,101.7485748,75.52481199,83.27488889,-1.72794212,-0.1529
1,90,1.433,1.3,0.1988,21.43965555,20,80.8698725,93.73993406,2.24370179,83.27488889,5.81797644,0.8854
1,90,1.433,1.3,0.3977,46.59437996,20,141.4945655,173.876628,9.75204294,83.27488889,10.17946514,1.371
1,90,1.433,1.3,0.5965,75.46421315,20,166.9559522,224.4365307,23.69097833,83.27488889,12.01121958,1.4033
1,90,1.433,1.3,0.7953,108.0491844,20,140.9210005,230.5740449,45.22654242,83.27488889,10.13820147,1.0165
1,90,1.433,1.3,0.9942,144.349315,20,38.86931576,169.0191207,75.52481199,83.27488889,2.79635365,0.2405
1,90,1.544,1.4,0.1988,21.43965555,20,92.62325088,106.3301403,2.24370179,83.27488889,6.66354323,1.0048
1,90,1.544,1.4,0.3977,46.59437996,20,164.911758,199.0602536,9.75204294,83.27488889,11.86415525,1.5722
1,90,1.544,1.4,0.5965,75.46421315,20,201.8424178,262.0138281,23.69097833,83.27488889,14.52103725,1.6614
1,90,1.544,1.4,0.7953,108.0491844,20,187.1183463,280.2512461,45.22654242,83.27488889,13.46175153,1.3181
1,90,1.544,1.4,0.9942,144.349315,20,96.24428937,230.6083864,75.52481199,83.27488889,6.9240496,0.5808
2,60,1.1,1,0.1988,75.84387338,20,79.72789916,106.298927,24.04079943,55.176,5.73582008,0.9385
2,60,1.1,1,0.3977,185.4339739,20,66.54652117,170.2557999,117.5365435,55.176,4.78751951,0.3749
2,60,1.1,1,0.5965,328.7725832,20,-83.21536082,158.0875474,312.5570157,55.176,-5.98671661,-0.23
2,60,1.1,1,0.7953,505.8607496,20,-416.8401336,42.89816852,641.1763902,55.176,-29.98849882,-0.6255
