H_max[T]	f[Hz]	F_R[%]	F_M_High[%]	F_B[%]	U_HB[-]	dPCB[kPa]	Tspan[K]	dT_reg[K]	Qc[W]	Qh[W]	Wpump[W]	Wvalv[W]	Wmotor[W]	COP[-]	Q_wall-Loss[W]
1.4	1	15	35	70	0.3977	62.83074925	20	21.2310532	207.3743637	266.2578614	17.07834678	64.372	14.91901897	2.1519	464.5934679
1.4	1	15	35	70	0.5965	103.5320462	20	21.07690336	263.3353626	358.2490107	42.21409644	64.372	18.94499011	2.0978	420.0893793
1.4	1	15	35	70	0.7953	150.4240559	20	20.84360143	254.9932079	394.4510274	81.78102053	64.372	18.3448351	1.5501	309.8614526
1.4	1	15	35	80	0.1988	24.39846294	20	21.3150961	109.662894	143.0745907	2.88524935	73.82344444	7.88941683	1.2963	493.0824389
1.4	1	15	35	80	0.3977	53.49874446	20	21.22980716	204.9423593	268.0124613	12.65711497	73.82344444	14.74405463	2.0246	556.6204816
1.4	1	15	35	80	0.5965	87.30090521	20	21.08462397	265.2636713	360.8748439	30.98969785	73.82344444	19.08371736	2.141	498.3026912
1.4	1	15	35	80	0.7953	125.8049878	20	20.86589764	266.3328377	400.9855427	59.55704027	73.82344444	19.1606358	1.746	374.746035
1.4	1	15	35	90	0.1988	21.43965555	20	21.28335959	102.1317296	144.5096896	2.24250753	83.27488889	7.34760645	1.0998	729.05709
1.4	1	15	35	90	0.3977	46.59437996	20	21.18605341	192.2646796	263.7014636	9.7475524	83.27488889	13.83199134	1.7993	839.5387439
1.4	1	15	35	90	0.5965	75.46421315	20	21.04326739	250.2142815	351.7714532	23.68137296	83.27488889	18.00102745	2.0024	807.5411512
1.4	1	15	35	90	0.7953	108.0491844	20	20.83322688	252.5449354	389.3769283	45.21017064	83.27488889	18.16870039	1.722	713.6359331
1.4	1	20	30	60	0.1988	33.68866204	20	21.28236445	112.0203433	134.3018202	5.3339558	55.176	8.05901751	1.6337	310.4536834
1.4	1	20	30	60	0.3977	75.81455404	20	21.20090919	203.2808689	258.1317604	24.00924036	55.176	14.62452294	2.1669	351.845412
1.4	1	20	30	60	0.5965	126.3778425	20	21.03122333	249.7687846	344.6803676	60.03572787	55.176	17.96897731	1.8754	299.5840887
1.4	1	20	30	60	0.7953	185.37863	20	20.77713662	225.5656724	371.9977879	117.4231215	55.176	16.22774621	1.1946	184.2229734
1.4	1	20	30	70	0.1988	28.32010001	20	21.2882797	110.4928701	137.3238446	3.84870337	64.372	7.94912734	1.4506	381.3476898
1.4	1	20	30	70	0.3977	62.83074925	20	21.20802828	203.6251329	261.1688918	17.07834678	64.372	14.64929013	2.1189	435.5297369
1.4	1	20	30	70	0.5965	103.5320462	20	21.05274476	257.2375435	350.4335959	42.21409644	64.372	18.50629809	2.0564	384.0017713
1.4	1	20	30	70	0.7953	150.4240559	20	20.81830869	246.3260105	383.6912652	81.78102053	64.372	17.72129572	1.5031	266.698147
1.4	1	20	30	80	0.1988	24.39846294	20	21.26336422	105.1828186	137.4456163	2.88524935	73.82344444	7.56710925	1.2481	483.9211576
1.4	1	20	30	80	0.3977	53.49874446	20	21.17641442	195.4579926	256.6220502	12.65711497	73.82344444	14.06172608	1.944	544.2539401
1.4	1	20	30	80	0.5965	87.30090521	20	21.02770293	249.9107234	342.8728245	30.98969785	73.82344444	17.97918873	2.0352	483.4935347
1.4	1	20	30	80	0.7953	125.8049878	20	20.80571298	244.5382467	375.792012	59.55704027	73.82344444	17.59267962	1.6197	356.9189044
1.4	1	20	30	90	0.1988	21.43965555	20	21.21781407	96.41877051	137.4720485	2.24250753	83.27488889	6.93660219	1.0429	725.4974079
1.4	1	20	30	90	0.3977	46.59437996	20	21.11797146	180.1416422	249.3388526	9.7475524	83.27488889	12.95983038	1.6997	836.0729597
1.4	1	20	30	90	0.5965	75.46421315	20	20.97041151	230.5320053	328.9790591	23.68137296	83.27488889	16.58503635	1.866	804.8500062
1.4	1	20	30	90	0.7953	108.0491844	20	20.7559221	224.5200372	357.3578096	45.21017064	83.27488889	16.15252066	1.5523	711.3266618
1.4	1	25	25	60	0.1988	33.68866204	20	21.26137041	110.3711904	131.9271948	5.3339558	55.176	7.94037341	1.6124	294.5187758
1.4	1	25	25	60	0.3977	75.81455404	20	21.17943289	199.7200802	253.4593002	24.00924036	55.176	14.36835109	2.1348	328.4710886
1.4	1	25	25	60	0.5965	126.3778425	20	21.00854138	243.9725999	337.4296911	60.03572787	55.176	17.5519856	1.8376	270.1052225
1.4	1	25	25	60	0.7953	185.37863	20	20.75339813	217.3507174	362.0015194	117.4231215	55.176	15.63674226	1.1547	148.4811171
1.4	1	25	25	70	0.1988	28.32010001	20	21.2398226	106.3658855	132.1400607	3.84870337	64.372	7.65222197	1.4019	371.5597822
1.4	1	25	25	70	0.3977	62.83074925	20	21.1573448	194.7826308	250.5337047	17.07834678	64.372	14.01313891	2.0404	421.6976026
1.4	1	25	25	70	0.5965	103.5320462	20	20.99857347	242.8739163	333.5662004	42.21409644	64.372	17.47294362	1.9577	366.7283883
1.4	1	25	25	70	0.7953	150.4240559	20	20.76113131	225.9675383	360.0910596	81.78102053	64.372	16.25665743	1.3913	245.4728728
1.4	1	25	25	80	0.1988	24.39846294	20	21.20074397	99.70687137	130.7818414	2.88524935	73.82344444	7.17315621	1.1887	480.3273618
1.4	1	25	25	80	0.3977	53.49874446	20	21.11055516	183.7291758	242.8225382	12.65711497	73.82344444	13.21792632	1.8428	540.193334
1.4	1	25	25	80	0.5965	87.30090521	20	20.95700186	230.8395238	320.8623296	30.98969785	73.82344444	16.60715998	1.9012	479.1208321
1.4	1	25	25	80	0.7953	125.8049878	20	20.73077969	217.4458623	344.8568062	59.55704027	73.82344444	15.64358722	1.4591	351.5672036
1.4	1	25	25	90	0.1988	21.43965555	20	21.14847051	90.38410483	130.0833046	2.24250753	83.27488889	6.50245359	0.9822	722.5119107
1.4	1	25	25	90	0.3977	46.59437996	20	21.04508691	167.1966875	234.0817024	9.7475524	83.27488889	12.02853867	1.5916	833.7009093
1.4	1	25	25	90	0.5965	75.46421315	20	20.89217164	209.4612861	304.6738017	23.68137296	83.27488889	15.06915728	1.7165	803.7609689
1.4	1	25	25	90	0.7953	108.0491844	20	20.67294905	194.5519179	323.1993408	45.21017064	83.27488889	13.99654086	1.3655	711.2067423
1.4	1	30	20	60	0.1988	33.68866204	20	21.2136141	106.2876083	126.8468096	5.3339558	55.176	7.64659053	1.5595	286.3776951
1.4	1	30	20	60	0.3977	75.81455404	20	21.12884882	190.8675874	242.8972388	24.00924036	55.176	13.73148111	2.0542	316.7031139
1.4	1	30	20	60	0.5965	126.3778425	20	20.95429242	229.5702835	320.5956019	60.03572787	55.176	16.51584773	1.7428	254.9395644
1.4	1	30	20	60	0.7953	185.37863	20	20.69626518	196.9980975	338.4844413	117.4231215	55.176	14.172525	1.0548	129.3226215
1.4	1	30	20	70	0.1988	28.32010001	20	21.1774904	100.9619873	125.5620733	3.84870337	64.372	7.26345232	1.3375	367.0965219
1.4	1	30	20	70	0.3977	62.83074925	20	21.0911619	183.0912374	236.7802819	17.07834678	64.372	13.17203147	1.935	415.9255635
1.4	1	30	20	70	0.5965	103.5320462	20	20.92740364	223.8327772	311.5608348	42.21409644	64.372	16.10307749	1.8244	359.5862922
1.4	1	30	20	70	0.7953	150.4240559	20	20.68589133	198.9734439	329.220304	81.78102053	64.372	14.31463625	1.24	236.3171883
1.4	1	30	20	80	0.1988	24.39846294	20	21.13166474	93.65659047	123.4853645	2.88524935	73.82344444	6.73788421	1.1224	479.2518214
1.4	1	30	20	80	0.3977	53.49874446	20	21.03713182	170.6359799	227.5528565	12.65711497	73.82344444	12.27596978	1.7278	539.9693896
1.4	1	30	20	80	0.5965	87.30090521	20	20.87788856	209.4959362	296.3846453	30.98969785	73.82344444	15.07165009	1.7475	479.6583641
1.4	1	30	20	80	0.7953	125.8049878	20	20.64696037	187.1278127	310.4634782	59.55704027	73.82344444	13.46243257	1.2743	352.1987832
1.4	1	30	20	90	0.1988	21.43965555	20	21.07629587	84.11515783	122.4210253	2.24250753	83.27488889	6.0514502	0.9186	718.7448234
1.4	1	30	20	90	0.3977	46.59437996	20	20.96868399	153.641329	218.1624888	9.7475524	83.27488889	11.05333302	1.4762	830.8310151
1.4	1	30	20	90	0.5965	75.46421315	20	20.81010908	187.3836285	279.293622	23.68137296	83.27488889	13.48083658	1.5559	802.603377
1.4	1	30	20	90	0.7953	108.0491844	20	20.58615086	163.1995311	287.6482986	45.21017064	83.27488889	11.74097346	1.1638	711.4937207
