Hmax[T]	f[Hz]	F_R[%]	F_M_High[%]	F_B[%]	U_HB[-]	dPCB[kPa]	Tspan[K]	dT_reg[K]	Qc[W]	Qh[W]	Wpump[W]	Wvalv[W]	Wmotor[W]	COP[-]	Q_wall-Loss[W]
1.3	1	5	45	80	0.7953	125.8049878	20	20.69730867	203.4332284	335.5505053	23.80588757	73.82344444	14.63548406	1.8121	467.0632531
1.3	1	5	45	80	0.9942	169.0110217	20	20.38713126	98.62568682	277.9137066	39.97640268	73.82344444	7.09537315	0.8158	310.402398
1.3	1	5	45	90	0.1988	21.43965555	20	21.18521589	92.49867956	135.936978	1.01589831	83.27488889	6.65458126	1.0171	763.5651645
1.3	1	5	45	90	0.3977	46.59437996	20	21.08573048	173.3046104	245.542679	4.41550833	83.27488889	12.46795759	1.7303	885.2459004
1.3	1	5	45	90	0.5965	75.46421315	20	20.94599112	223.0846413	325.0708062	10.72674852	83.27488889	16.04925477	2.0271	860.058459
1.3	1	5	45	90	0.7953	108.0491844	20	20.74025474	218.3118604	355.2162665	20.47757337	83.27488889	15.70588924	1.8275	773.189217
1.3	1	5	45	90	0.9942	144.349315	20	20.44605674	128.0265337	307.5096597	34.19595654	83.27488889	9.21054199	1.0106	650.6758552
1.3	1	5	45	100	0.1988	19.02445271	20	21.19509916	78.14112991	152.6050304	0.91287081	91.96	5.62166402	0.7934	1761.310409
1.3	1	5	45	100	0.3977	41.05816915	20	21.05794863	154.4561554	253.9053904	3.940043	91.96	11.11195363	1.4434	1768.725746
1.3	1	5	45	100	0.5965	66.10116666	20	20.91646595	202.7851449	327.8252401	9.51441171	91.96	14.58885935	1.7472	1660.318799
1.3	1	5	45	100	0.7953	94.15347069	20	20.71845552	199.0870753	355.6863445	18.06892077	91.96	14.32281117	1.601	1556.730352
1.3	1	5	45	100	0.9942	125.2151056	20	20.43551929	112.2473552	308.5382151	30.03654309	91.96	8.0753493	0.863	1475.313097
1.3	1	10	40	60	0.1988	33.68866204	20	21.09173508	94.20595184	115.5169981	1.60137866	55.176	6.77740661	1.4823	331.3200581
1.3	1	10	40	60	0.3977	75.81455404	20	21.00574242	167.0172277	219.450465	7.20717236	55.176	12.01562789	2.2449	380.0641979
1.3	1	10	40	60	0.5965	126.3778425	20	20.83337535	194.7598542	285.7213711	18.02003471	55.176	14.0115003	2.2333	331.6289715
1.3	1	10	40	60	0.7953	185.37863	20	20.57818311	151.8837695	292.8626876	35.24272743	55.176	10.92688989	1.4987	219.1495933
1.3	1	10	40	60	0.9942	252.8169804	20	20.22618107	5.90725189	212.185983	60.07805814	55.176	0.42498215	0.0511	58.56650133
1.3	1	10	40	70	0.1988	28.32010001	20	21.11984302	94.48544976	120.9403288	1.34793378	64.372	6.79751437	1.3029	415.4688365
