f[Hz]	H_max[T]	H_min[T]	F[%]	U_HB[-]	dPCB[kPa]	Tspan [K]	Qc[W]	Qh[W]	Wpump[W]	Wvalv[W]	Wmotor[W]	COP[-]
4	1.1	0.1	100	0.3977	236.7307	20.0000	233.2705	537.7213	181.8567	91.9600	16.7820	0.8027
4	1.1	0.1	100	0.5965	427.2978	20.0000	-7.4542	653.8771	492.2431	91.9600	-0.5363	-0.0128
4	1.1	0.1	100	0.7953	666.0078	20.0000	-630.5113	607.8695	1022.8137	91.9600	-45.3605	-0.5896
4	1.1	0.1	100	0.9942	952.8642	20.0000	-1782.4013	311.4935	1828.9914	91.9600	-128.2303	-0.9942
4	1.2	0.05	90	0.1988	108.1349	20.0000	286.7153	410.9483	45.2906	83.2749	20.6270	1.9218
4	1.2	0.05	90	0.3977	275.6993	20.0000	391.5575	742.3256	230.8823	83.2749	28.1696	1.1438
4	1.2	0.05	90	0.5965	502.7003	20.0000	199.3854	968.0387	631.3885	83.2749	14.3443	0.2735
4	1.2	0.05	90	0.7953	789.1413	20.0000	-409.5807	1038.8222	1321.4368	83.2749	-29.4662	-0.2978
4	1.2	0.05	90	0.9942	1135.0239	20.0000	-1591.6123	869.4380	2375.6581	83.2749	-114.5045	-0.6789
4	1.2	0.05	100	0.1988	94.3004	20.0000	282.8324	405.6478	36.2392	91.9600	20.3477	1.9040
4	1.2	0.05	100	0.3977	236.7307	20.0000	407.3627	734.5307	181.8567	91.9600	29.3067	1.3439
4	1.2	0.05	100	0.5965	427.2978	20.0000	264.7228	958.1733	492.2431	91.9600	19.0448	0.4388
4	1.2	0.05	100	0.7953	666.0078	20.0000	-258.4199	1021.3100	1022.8137	91.9600	-18.5914	-0.2357
4	1.2	0.05	100	0.9942	952.8642	20.0000	-1311.2695	833.1408	1828.9914	91.9600	-94.3359	-0.7179
4	1.2	0.1	90	0.1988	108.1349	20.0000	279.3761	400.6705	45.2906	83.2749	20.0990	1.8792
4	1.2	0.1	90	0.3977	275.6993	20.0000	371.1258	716.6999	230.8823	83.2749	26.6997	1.0888
4	1.2	0.1	90	0.5965	502.7003	20.0000	162.0155	923.1609	631.3885	83.2749	11.6558	0.2231
4	1.2	0.1	90	0.7953	789.1413	20.0000	-465.6564	972.7790	1321.4368	83.2749	-33.5005	-0.3396
4	1.2	0.1	90	0.9942	1135.0239	20.0000	-1666.4769	781.8839	2375.6581	83.2749	-119.8904	-0.7125
4	1.2	0.1	100	0.1988	94.3004	20.0000	275.8394	395.7442	36.2392	91.9600	19.8446	1.8632
4	1.2	0.1	100	0.3977	236.7307	20.0000	387.9351	709.9324	181.8567	91.9600	27.9090	1.2857
4	1.2	0.1	100	0.5965	427.2978	20.0000	228.9656	914.9210	492.2431	91.9600	16.4723	0.3812
4	1.2	0.1	100	0.7953	666.0078	20.0000	-312.4720	957.3056	1022.8137	91.9600	-22.4800	-0.2861
4	1.2	0.1	100	0.9942	952.8642	20.0000	-1383.9187	747.8279	1828.9914	91.9600	-99.5625	-0.7598
4	1.3	0.05	90	0.1988	108.1349	20.0000	359.7499	494.4835	45.2906	83.2749	25.8813	2.3293
4	1.3	0.05	90	0.3977	275.6993	20.0000	542.1218	910.6773	230.8823	83.2749	39.0016	1.5351
4	1.3	0.05	90	0.5965	502.7003	20.0000	428.5761	1221.9374	631.3885	83.2749	30.8328	0.5749
4	1.3	0.05	90	0.7953	789.1413	20.0000	-102.2686	1377.4285	1321.4368	83.2749	-7.3575	-0.0732
4	1.3	0.05	90	0.9942	1135.0239	20.0000	-1207.6948	1290.8984	2375.6581	83.2749	-86.8845	-0.5091
4	1.3	0.05	100	0.1988	94.3004	20.0000	353.8335	486.9921	36.2392	91.9600	25.4557	2.3028
4	1.3	0.05	100	0.3977	236.7307	20.0000	554.4800	899.2399	181.8567	91.9600	39.8906	1.7675
4	1.3	0.05	100	0.5965	427.2978	20.0000	489.5850	1207.5635	492.2431	91.9600	35.2219	0.7904
4	1.3	0.05	100	0.7953	666.0078	20.0000	44.1298	1355.0422	1022.8137	91.9600	3.1748	0.0395
4	1.3	0.05	100	0.9942	952.8642	20.0000	-932.1745	1249.7617	1828.9914	91.9600	-67.0629	-0.5028
4	1.3	0.1	90	0.1988	108.1349	20.0000	352.3431	484.0204	45.2906	83.2749	25.3484	2.2892
4	1.3	0.1	90	0.3977	275.6993	20.0000	521.4903	884.6577	230.8823	83.2749	37.5173	1.4829
4	1.3	0.1	90	0.5965	502.7003	20.0000	390.7498	1176.3008	631.3885	83.2749	28.1115	0.5261
4	1.3	0.1	90	0.7953	789.1413	20.0000	-159.1229	1310.2217	1321.4368	83.2749	-11.4477	-0.1142
4	1.3	0.1	90	0.9942	1135.0239	20.0000	-1283.7220	1201.6943	2375.6581	83.2749	-92.3541	-0.5424
4	1.3	0.1	100	0.1988	94.3004	20.0000	346.7735	476.8974	36.2392	91.9600	24.9477	2.2643
4	1.3	0.1	100	0.3977	236.7307	20.0000	534.8670	874.2469	181.8567	91.9600	38.4796	1.7127
4	1.3	0.1	100	0.5965	427.2978	20.0000	453.4002	1163.5827	492.2431	91.9600	32.6187	0.7351
4	1.3	0.1	100	0.7953	666.0078	20.0000	-10.6674	1289.8992	1022.8137	91.9600	-0.7674	-0.0096
4	1.3	0.1	100	0.9942	952.8642	20.0000	-1005.9670	1162.8052	1828.9914	91.9600	-72.3717	-0.5442
4	1.4	0.05	90	0.1988	108.1349	20.0000	429.4505	574.8310	45.2906	83.2749	30.8957	2.6931
4	1.4	0.05	90	0.3977	275.6993	20.0000	685.6710	1072.0087	230.8823	83.2749	49.3288	1.8864
4	1.4	0.05	90	0.5965	502.7003	20.0000	647.0880	1464.9888	631.3885	83.2749	46.5531	0.8501
4	1.4	0.05	90	0.7953	789.1413	20.0000	190.7973	1701.4805	1321.4368	83.2749	13.7264	0.1345
4	1.4	0.05	90	0.9942	1135.0239	20.0000	-841.5499	1694.1346	2375.6581	83.2749	-60.5432	-0.3509
4	1.4	0.05	100	0.1988	94.3004	20.0000	421.6093	565.2535	36.2392	91.9600	30.3316	2.6595
4	1.4	0.05	100	0.3977	236.7307	20.0000	694.7635	1057.1022	181.8567	91.9600	49.9830	2.1457
4	1.4	0.05	100	0.5965	427.2978	20.0000	703.9883	1446.3238	492.2431	91.9600	50.6466	1.1089
4	1.4	0.05	100	0.7953	666.0078	20.0000	332.6532	1674.4372	1022.8137	91.9600	23.9319	0.2921
4	1.4	0.05	100	0.9942	952.8642	20.0000	-570.6439	1648.3530	1828.9914	91.9600	-41.0535	-0.3036
4	1.4	0.1	90	0.1988	108.1349	20.0000	421.9954	564.2063	45.2906	83.2749	30.3594	2.6553
4	1.4	0.1	90	0.3977	275.6993	20.0000	664.9025	1045.6438	230.8823	83.2749	47.8347	1.8368
4	1.4	0.1	90	0.5965	502.7003	20.0000	608.9101	1418.7174	631.3885	83.2749	43.8065	0.8028
4	1.4	0.1	90	0.7953	789.1413	20.0000	133.3021	1633.2685	1321.4368	83.2749	9.5901	0.0943
4	1.4	0.1	90	0.9942	1135.0239	20.0000	-918.5476	1603.4976	2375.6581	83.2749	-66.0826	-0.3839
4	1.4	0.1	100	0.1988	94.3004	20.0000	414.5002	554.9972	36.2392	91.9600	29.8202	2.6231
4	1.4	0.1	100	0.3977	236.7307	20.0000	675.0243	1031.7826	181.8567	91.9600	48.5629	2.0939
4	1.4	0.1	100	0.5965	427.2978	20.0000	667.4781	1401.7385	492.2431	91.9600	48.0200	1.0558
4	1.4	0.1	100	0.7953	666.0078	20.0000	277.2510	1608.3141	1022.8137	91.9600	19.9461	0.2443
4	1.4	0.1	100	0.9942	952.8642	20.0000	-645.3612	1559.9995	1828.9914	91.9600	-46.4289	-0.3443
