f[Hz]	Hmax[T]	MagPeriod [s]	FieldPeriod[s]	F[%]	Test	Re_w[-]	ReDp_CB[-]	ReDp_HB[-]	U_CB[-]	U_HB[-]	dPCB[kPa]	dPHB[kPa]	Tspan [K]	dT_reg[K]	Qc[W]	Qh[W]	Wpump[W]	Wvalv[W]	Wmotor[W]	COP[-]	Q_wall-Loss[W]
1	1.3	15	35	60	Test1	0.0585	4.6746	4.6746	0.1988	0.1988	47.14440224	-47.14440224	35	36.2834159	87.61750468	79.72162335	3.046043856	20.16	11.33683055	2.536485634	-180.0241494
1	1.3	15	35	60	Test2	0.0585	7.012	7.012	0.2982	0.2982	73.49251965	-73.49251965	35	36.25237454	122.7244673	122.2855647	7.122737142	20.16	15.87932109	2.843341404	-399.559128
1	1.3	15	35	60	Test1	0.0585	9.3493	9.3493	0.3977	0.3977	101.6912543	-101.6912543	35	36.11549233	142.0426818	148.9590932	13.14110412	20.16	18.37890523	2.748503408	-724.2436104
1	1.3	15	35	60	Test2	0.0585	11.6866	11.6866	0.4971	0.4971	131.74061	-131.74061	35	35.90209581	140.4420235	153.7253401	21.28055888	20.16	18.17179602	2.355921415	-1249.128403
1	1.3	15	35	70	Test1	0.0585	4.0068	4.0068	0.1988	0.1988	39.90197305	-39.90197305	35	36.33153378	88.79113371	85.08356253	2.5816217	21.12	11.48868643	2.523170112	-209.7837761
1	1.3	15	35	70	Test2	0.0585	6.0103	6.0103	0.2982	0.2982	61.88969346	-61.88969346	35	36.30073933	126.1273191	128.7025502	6.006380394	21.12	16.31961615	2.903082657	-445.0928141
1	1.3	15	35	70	Test1	0.0585	8.0137	8.0137	0.3977	0.3977	85.23524007	-85.23524007	35	36.17313562	149.0566704	157.3976178	11.02952762	21.12	19.28644534	2.897907084	-785.6673262
1	1.3	15	35	70	Test2	0.0585	10.0171	10.0171	0.4971	0.4971	109.9386151	-109.9386151	35	35.96854152	151.8198754	164.4305367	17.78287755	21.12	19.64397649	2.593134642	-1328.344952
1	1.3	15	35	80	Test1	0.0585	3.506	3.506	0.1988	0.1988	34.56582275	-34.58194652	35	36.35897492	88.06221833	88.47030907	2.223694232	22.08	11.39437206	2.466862424	-278.8164773
1	1.3	15	35	80	Test2	0.0585	5.259	5.259	0.2982	0.2982	53.39566074	-53.43073906	35	36.3205208	125.9531179	131.4539324	5.153126984	22.08	16.29707626	2.893464963	-537.208418
1	1.3	15	35	80	Test1	0.0585	7.012	7.012	0.3977	0.3977	73.2567853	-73.31807998	35	36.19510711	150.5159644	160.1311186	9.42744944	22.08	19.47526342	2.95229414	-908.6111976
1	1.3	15	35	80	Test2	0.0585	8.765	8.765	0.4971	0.4971	94.14919781	-94.24397069	35	35.99466036	155.621589	167.5115423	15.14653394	22.08	20.13588028	2.712953963	-1480.441459
1	1.3	15	35	90	Test1	0.0585	3.1164	3.1164	0.1988	0.1988	30.49888365	-30.49888365	35	36.32398299	83.37349391	89.05276384	1.952585739	23.04	10.78769792	2.330151843	-280.771435
1	1.3	15	35	90	Test2	0.0585	4.6746	4.6746	0.2982	0.2982	46.97060258	-46.97060258	35	36.2730563	119.3379577	129.3883685	4.510729242	23.04	15.44114056	2.77582618	-528.2285524
1	1.3	15	35	90	Test3	0.0585	6.2329	6.2329	0.3977	0.3977	64.2571743	-64.2571743	35	36.14487433	142.6141116	155.6962874	8.227803582	23.04	18.45284254	2.86830769	-893.7358537
1	1.3	15	35	90	Test4	0.0585	7.7911	7.7911	0.4971	0.4971	82.35859969	-82.35859969	35	35.94724502	147.2273525	161.4184204	13.18208017	23.04	19.04974987	2.663695999	-1446.935056
1	1.3	20	30	60	Test1	0.0585	4.6746	4.6746	0.1988	0.1988	47.14440224	-47.14440224	35	36.28403973	87.85583502	79.56162791	3.046043856	20.16	11.36766812	2.541116646	-194.7436719
1	1.3	20	30	60	Test2	0.0585	7.012	7.012	0.2982	0.2982	73.49251965	-73.49251965	35	36.25219136	122.936949	122.0337741	7.122737142	20.16	15.90681411	2.846451178	-416.9484579
1	1.3	20	30	60	Test3	0.0585	9.3493	9.3493	0.3977	0.3977	101.6912543	-101.6912543	35	36.11493676	142.2405193	148.6123177	13.14110412	20.16	18.40450342	2.750968919	-746.5575236
1	1.3	20	30	60	Test4	0.0585	11.6866	11.6866	0.4971	0.4971	131.74061	-131.74061	35	35.90145976	140.64954	153.305892	21.28055888	20.16	18.19864659	2.358340272	-1275.489907
1	1.3	20	30	70	Test1	0.0585	4.0068	4.0068	0.1988	0.1988	39.90197305	-39.90197305	35	36.30877846	87.665486	83.23647903	2.5816217	21.12	11.34303885	2.501536172	-235.1605838
1	1.3	20	30	70	Test2	0.0585	6.0103	6.0103	0.2982	0.2982	61.88969346	-61.88969346	35	36.2751054	124.073854	125.7338299	6.006380394	21.12	16.05391826	2.873390362	-473.5188753
1	1.3	20	30	70	Test3	0.0585	8.0137	8.0137	0.3977	0.3977	85.23524007	-85.23524007	35	36.14556599	146.0984941	153.1525633	11.02952762	21.12	18.90368685	2.861690406	-824.5131297
1	1.3	20	30	70	Test4	0.0585	10.0171	10.0171	0.4971	0.4971	109.9386151	-109.9386151	35	35.94056482	148.0652026	159.0470767	17.78287755	21.12	19.1581593	2.550164631	-1376.568532
1	1.3	20	30	80	Test1	0.0585	3.506	3.506	0.1988	0.1988	34.56582275	-34.58194652	35	36.30058672	84.45447719	84.37592697	2.223694232	22.08	10.92756636	2.397146051	-278.7197688
1	1.3	20	30	80	Test2	0.0585	5.259	5.259	0.2982	0.2982	53.39566074	-53.43073906	35	36.25722624	120.0550558	124.8364135	5.153126984	22.08	15.53392589	2.807185619	-532.6607502
1	1.3	20	30	80	Test3	0.0585	7.012	7.012	0.3977	0.3977	73.2567853	-73.31807998	35	36.12712132	142.1310162	150.6020756	9.42744944	22.08	18.39033481	2.84844344	-908.5998434
1	1.3	20	30	80	Test4	0.0585	8.765	8.765	0.4971	0.4971	94.14919781	-94.24397069	35	35.92554377	145.0435568	155.3249381	15.14653394	22.08	18.76718849	2.590353891	-1486.151706
1	1.3	20	30	90	Test1	0.0585	3.1164	3.1164	0.1988	0.1988	30.49888365	-30.49888365	35	36.24880416	78.55077502	83.94933031	1.952585739	23.04	10.16368623	2.23433176	-261.1061586
1	1.3	20	30	90	Test2	0.0585	4.6746	4.6746	0.2982	0.2982	46.97060258	-46.97060258	35	36.19203821	111.5814687	121.1108372	4.510729242	23.04	14.4375283	2.65744461	-500.8470399
1	1.3	20	30	90	Test3	0.0585	6.2329	6.2329	0.3977	0.3977	64.2571743	-64.2571743	35	36.05813394	131.6270548	143.8117895	8.227803582	23.04	17.03122705	2.725252516	-865.6204966
1	1.3	20	30	90	Test4	0.0585	7.7911	7.7911	0.4971	0.4971	82.35859969	-82.35859969	35	35.85942211	133.4281128	146.2722359	13.18208017	23.04	17.26426598	2.494620075	-1420.332799
1	1.3	25	25	60	Test1	0.0585	4.6746	4.6746	0.1988	0.1988	47.14440224	-47.14440224	35	36.2625429	86.74681559	77.86667445	3.046043856	20.16	11.22417207	2.519496705	-214.840392
1	1.3	25	25	60	Test2	0.0585	7.012	7.012	0.2982	0.2982	73.49251965	-73.49251965	35	36.22808412	120.9634362	119.2909692	7.122737142	20.16	15.65146125	2.817414572	-439.7642965
1	1.3	25	25	60	Test3	0.0585	9.3493	9.3493	0.3977	0.3977	101.6912543	-101.6912543	35	36.08918952	139.4259582	144.7093263	13.14110412	20.16	18.04032731	2.715661685	-777.980017
1	1.3	25	25	60	Test4	0.0585	11.6866	11.6866	0.4971	0.4971	131.74061	-131.74061	35	35.875515	137.1062913	148.3866705	21.28055888	20.16	17.74018557	2.316738199	-1314.319907
1	1.3	25	25	70	Test1	0.0585	4.0068	4.0068	0.1988	0.1988	39.90197305	-39.90197305	35	36.25429947	84.37601429	79.4105299	2.5816217	21.12	10.91741405	2.437272225	-240.2739567
1	1.3	25	25	70	Test2	0.0585	6.0103	6.0103	0.2982	0.2982	61.88969346	-61.88969346	35	36.21564496	118.6407037	119.5173211	6.006380394	21.12	15.35092284	2.793037566	-476.1158186
1	1.3	25	25	70	Test3	0.0585	8.0137	8.0137	0.3977	0.3977	85.23524007	-85.23524007	35	36.08182691	138.3759725	144.2218423	11.02952762	21.12	17.90446965	2.764533905	-832.7541054
1	1.3	25	25	70	Test4	0.0585	10.0171	10.0171	0.4971	0.4971	109.9386151	-109.9386151	35	35.87596682	138.3417142	147.6705581	17.78287755	21.12	17.90003695	2.435468592	-1390.746716
1	1.3	25	25	80	Test1	0.0585	3.506	3.506	0.1988	0.1988	34.56582275	-34.58194652	35	36.2282932	79.89966259	79.44870687	2.223694232	22.08	10.33821882	2.306444868	-266.9450849
1	1.3	25	25	80	Test2	0.0585	5.259	5.259	0.2982	0.2982	53.39566074	-53.43073906	35	36.17856996	112.6352713	116.7877093	5.153126984	22.08	14.57387984	2.694172098	-514.1612897
1	1.3	25	25	80	Test3	0.0585	7.012	7.012	0.3977	0.3977	73.2567853	-73.31807998	35	36.04259716	131.5694806	139.0075353	9.42744944	22.08	17.02377753	2.711027288	-891.7685442
1	1.3	25	25	80	Test4	0.0585	8.765	8.765	0.4971	0.4971	94.14919781	-94.24397069	35	35.83989268	131.7622104	140.5413709	15.14653394	22.08	17.04871484	2.427666632	-1472.416764
1	1.3	25	25	90	Test1	0.0585	3.1164	3.1164	0.1988	0.1988	30.49888365	-30.49888365	35	36.16792082	73.40317488	78.47403042	1.952585739	23.04	9.49763815	2.128231325	-240.3845674
1	1.3	25	25	90	Test2	0.0585	4.6746	4.6746	0.2982	0.2982	46.97060258	-46.97060258	35	36.10423007	103.227652	112.178401	4.510729242	23.04	13.3566278	2.523449556	-472.3978194
1	1.3	25	25	90	Test3	0.0585	6.2329	6.2329	0.3977	0.3977	64.2571743	-64.2571743	35	35.9645908	119.826298	131.0720347	8.227803582	23.04	15.50432692	2.56191661	-835.6974749
1	1.3	25	25	90	Test4	0.0585	7.7911	7.7911	0.4971	0.4971	82.35859969	-82.35859969	35	35.76523576	118.6577113	130.1566403	13.18208017	23.04	15.35312345	2.300673636	-1390.4358
1	1.3	30	20	60	Test1	0.0585	4.6746	4.6746	0.1988	0.1988	47.14440224	-47.14440224	35	36.20824166	83.4642652	74.06658927	3.046043856	20.16	10.79944282	2.45443525	-219.0393818
1	1.3	30	20	60	Test2	0.0585	7.012	7.012	0.2982	0.2982	73.49251965	-73.49251965	35	36.16859639	115.5309847	113.0838945	7.122737142	20.16	14.94855624	2.735672423	-441.9480716
1	1.3	30	20	60	Test3	0.0585	9.3493	9.3493	0.3977	0.3977	101.6912543	-101.6912543	35	36.02577409	131.7413281	135.8474635	13.14110412	20.16	17.04601288	2.616660814	-785.5283314
1	1.3	30	20	60	Test4	0.0585	11.6866	11.6866	0.4971	0.4971	131.74061	-131.74061	35	35.81157246	127.4782193	137.1569293	21.28055888	20.16	16.49440915	2.200367474	-1326.859132
1	1.3	30	20	70	Test1	0.0585	4.0068	4.0068	0.1988	0.1988	39.90197305	-39.90197305	35	36.18253479	79.92811945	74.48474248	2.5816217	21.12	10.34190085	2.347821655	-234.4054079
1	1.3	30	20	70	Test2	0.0585	6.0103	6.0103	0.2982	0.2982	61.88969346	-61.88969346	35	36.137041	111.3247766	111.4316552	6.006380394	21.12	14.4043149	2.680542085	-465.2132467
1	1.3	30	20	70	Test3	0.0585	8.0137	8.0137	0.3977	0.3977	85.23524007	-85.23524007	35	35.99753387	127.9640095	132.6096358	11.02952762	21.12	16.55726555	2.627231258	-825.1235624
1	1.3	30	20	70	Test4	0.0585	10.0171	10.0171	0.4971	0.4971	109.9386151	-109.9386151	35	35.79074625	125.2601701	132.9157944	17.78287755	21.12	16.20741572	2.272899719	-1386.915994
1	1.3	30	20	80	Test1	0.0585	3.506	3.506	0.1988	0.1988	34.56582275	-34.58194652	35	36.14730718	74.77736927	73.97331137	2.223694232	22.08	9.67544519	2.200684612	-249.2764136
1	1.3	30	20	80	Test2	0.0585	5.259	5.259	0.2982	0.2982	53.39566074	-53.43073906	35	36.0898499	104.2412189	107.7724211	5.153126984	22.08	13.48777324	2.559894755	-489.1614268
1	1.3	30	20	80	Test3	0.0585	7.012	7.012	0.3977	0.3977	73.2567853	-73.31807998	35	35.94774663	119.6714812	126.0939228	9.42744944	22.08	15.48429517	2.546649038	-867.1521976
1	1.3	30	20	80	Test4	0.0585	8.765	8.765	0.4971	0.4971	94.14919781	-94.24397069	35	35.74430152	116.8639757	124.1815351	15.14653394	22.08	15.12103197	2.232462458	-1449.156146
1	1.3	30	20	90	Test1	0.0585	3.1164	3.1164	0.1988	0.1988	30.49888365	-30.49888365	35	36.08271153	68.00571485	72.71410524	1.952585739	23.04	8.7992607	2.01248887	-219.6457758
1	1.3	30	20	90	Test2	0.0585	4.6746	4.6746	0.2982	0.2982	46.97060258	-46.97060258	35	36.01118803	94.40990951	102.7333359	4.510729242	23.04	12.21569994	2.374110813	-444.3644685
1	1.3	30	20	90	Test3	0.0585	6.2329	6.2329	0.3977	0.3977	64.2571743	-64.2571743	35	35.86617933	107.4321835	117.7206871	8.227803582	23.04	13.9006522	2.378478112	-806.001078
1	1.3	30	20	90	Test4	0.0585	7.7911	7.7911	0.4971	0.4971	82.35859969	-82.35859969	35	35.66670469	103.2191333	113.3744305	13.18208017	23.04	13.35552557	2.081970918	-1359.819608
1	1.4	5	45	60	Test1	0.0585	4.6746	4.6746	0.1988	0.1988	47.14440224	-47.14440224	35	36.45776797	97.82123434	92.27567527	3.046043856	20.16	12.65709132	2.727626401	-174.7411289
1	1.4	5	45	60	Test2	0.0585	7.012	7.012	0.2982	0.2982	73.49251965	-73.49251965	35	36.43773717	139.2966463	142.0019564	7.122737142	20.16	18.02359564	3.074551344	-400.0243544
1	1.4	5	45	60	Test3	0.0585	9.3493	9.3493	0.3977	0.3977	101.6912543	-101.6912543	35	36.31257459	165.7497777	176.6938681	13.14110412	20.16	21.4463668	3.027533052	-721.4213234
1	1.4	5	45	60	Test4	0.0585	11.6866	11.6866	0.4971	0.4971	131.74061	-131.74061	35	36.10500279	171.0747	189.2943633	21.28055888	20.16	22.1353586	2.690872688	-1238.827529
1	1.4	5	45	70	Test1	0.0585	4.0068	4.0068	0.1988	0.1988	39.90197305	-39.90197305	35	36.50456242	98.73735014	97.7556041	2.5816217	21.12	12.77562756	2.706820063	-185.9476079
1	1.4	5	45	70	Test2	0.0585	6.0103	6.0103	0.2982	0.2982	61.88969346	-61.88969346	35	36.48481412	142.3764055	148.5413847	6.006380394	21.12	18.42208574	3.125822176	-424.6409768
1	1.4	5	45	70	Test3	0.0585	8.0137	8.0137	0.3977	0.3977	85.23524007	-85.23524007	35	36.36958769	172.430221	185.3739726	11.02952762	21.12	22.31074948	3.166164959	-757.5002186
1	1.4	5	45	70	Test4	0.0585	10.0171	10.0171	0.4971	0.4971	109.9386151	-109.9386151	35	36.17184143	182.2040923	200.4695799	17.78287755	21.12	23.57539087	2.916279483	-1287.128137
1	1.4	5	45	80	Test1	0.0585	3.506	3.506	0.1988	0.1988	34.56582275	-34.58194652	35	36.55899083	99.43807149	103.4267456	2.223694232	22.08	12.86629391	2.67522473	-219.7823396
1	1.4	5	45	80	Test2	0.0585	5.259	5.259	0.2982	0.2982	53.39566074	-53.43073906	35	36.53422156	144.6980885	154.8831434	5.153126984	22.08	18.72248835	3.148648701	-477.2255477
1	1.4	5	45	80	Test3	0.0585	7.012	7.012	0.3977	0.3977	73.2567853	-73.31807998	35	36.42374818	177.4838027	193.2933069	9.42744944	22.08	22.96463252	3.258252601	-829.4140619
1	1.4	5	45	80	Test4	0.0585	8.765	8.765	0.4971	0.4971	94.14919781	-94.24397069	35	36.23168669	190.7136074	210.3175527	15.14653394	22.08	24.67643719	3.080847396	-1375.711115
1	1.4	5	45	90	Test1	0.0585	3.1164	3.1164	0.1988	0.1988	30.49888365	-30.49888365	35	36.59866213	100.031112	108.9731512	1.952585739	23.04	12.94302743	2.636865563	-259.3023478
1	1.4	5	45	90	Test2	0.0585	4.6746	4.6746	0.2982	0.2982	46.97060258	-46.97060258	35	36.56472329	146.1790804	160.770625	4.510729242	23.04	18.91411392	3.146014717	-517.1096409
1	1.4	5	45	90	Test3	0.0585	6.2329	6.2329	0.3977	0.3977	64.2571743	-64.2571743	35	36.45673709	180.8766282	200.3608751	8.227803582	23.04	23.40363027	3.308430298	-870.2062114
1	1.4	5	45	90	Test4	0.0585	7.7911	7.7911	0.4971	0.4971	82.35859969	-82.35859969	35	36.26951945	196.5997067	219.1294701	13.18208017	23.04	25.43803968	3.188441851	-1400.0096
1	1.4	10	40	60	Test1	0.0585	4.6746	4.6746	0.1988	0.1988	47.14440224	-47.14440224	35	36.46073299	98.33500201	92.14345238	3.046043856	20.16	12.72356773	2.736879072	-178.3485426
1	1.4	10	40	60	Test2	0.0585	7.012	7.012	0.2982	0.2982	73.49251965	-73.49251965	35	36.43907488	139.7560837	141.7989634	7.122737142	20.16	18.08304226	3.080649899	-403.921996
1	1.4	10	40	60	Test3	0.0585	9.3493	9.3493	0.3977	0.3977	101.6912543	-101.6912543	35	36.31284637	166.1063352	176.4030591	13.14110412	20.16	21.49250178	3.03149122	-726.7580232
1	1.4	10	40	60	Test4	0.0585	11.6866	11.6866	0.4971	0.4971	131.74061	-131.74061	35	36.10486669	171.3769134	188.9426132	21.28055888	20.16	22.174462	2.693969302	-1245.693271
1	1.4	10	40	70	Test1	0.0585	4.0068	4.0068	0.1988	0.1988	39.90197305	-39.90197305	35	36.50773039	99.33005379	97.57038592	2.5816217	21.12	12.8523175	2.717355666	-196.3467315
1	1.4	10	40	70	Test2	0.0585	6.0103	6.0103	0.2982	0.2982	61.88969346	-61.88969346	35	36.48614976	142.9147207	148.2581591	6.006380394	21.12	18.49173835	3.132849942	-436.3244934
1	1.4	10	40	70	Test3	0.0585	8.0137	8.0137	0.3977	0.3977	85.23524007	-85.23524007	35	36.36977016	172.8770774	184.9679696	11.02952762	21.12	22.36856824	3.171003584	-772.5623623
1	1.4	10	40	70	Test4	0.0585	10.0171	10.0171	0.4971	0.4971	109.9386151	-109.9386151	35	36.17152759	182.5997998	199.9642694	17.78287755	21.12	23.62659147	2.9202199	-1305.562566
1	1.4	10	40	80	Test1	0.0585	3.506	3.506	0.1988	0.1988	34.56582275	-34.58194652	35	36.56321963	100.4122625	102.9758233	2.223694232	22.08	12.9923445	2.692303685	-262.276755
1	1.4	10	40	80	Test2	0.0585	5.259	5.259	0.2982	0.2982	53.39566074	-53.43073906	35	36.53552668	145.6151788	154.1829003	5.153126984	22.08	18.84115068	3.160444096	-527.2555512
1	1.4	10	40	80	Test3	0.0585	7.012	7.012	0.3977	0.3977	73.2567853	-73.31807998	35	36.4232276	178.3126816	192.28026	9.42744944	22.08	23.07188116	3.267036799	-891.1073591
1	1.4	10	40	80	Test4	0.0585	8.765	8.765	0.4971	0.4971	94.14919781	-94.24397069	35	36.23023999	191.4831163	209.0183901	15.14653394	22.08	24.77600396	3.088310944	-1448.575027
1	1.4	10	40	90	Test1	0.0585	3.1164	3.1164	0.1988	0.1988	30.49888365	-30.49888365	35	36.56218469	98.11688192	105.6457393	1.952585739	23.04	12.69534517	2.603403253	-292.3652977
1	1.4	10	40	90	Test2	0.0585	4.6746	4.6746	0.2982	0.2982	46.97060258	-46.97060258	35	36.52351061	142.6010366	155.5337913	4.510729242	23.04	18.45115076	3.099895842	-550.9147431
1	1.4	10	40	90	Test3	0.0585	6.2329	6.2329	0.3977	0.3977	64.2571743	-64.2571743	35	36.41182201	175.6276378	192.8636562	8.227803582	23.04	22.7244633	3.252829487	-917.6073764
1	1.4	10	40	90	Test4	0.0585	7.7911	7.7911	0.4971	0.4971	82.35859969	-82.35859969	35	36.22293051	189.773067	209.4509763	13.18208017	23.04	24.55474065	3.122457945	-1463.086601
1	1.4	15	35	60	Test1	0.0585	4.6746	4.6746	0.1988	0.1988	47.14440224	-47.14440224	35	36.46201519	98.59585882	92.04691015	3.046043856	20.16	12.75731999	2.741563866	-185.655907
1	1.4	15	35	60	Test2	0.0585	7.012	7.012	0.2982	0.2982	73.49251965	-73.49251965	35	36.43950961	139.9908615	141.6460791	7.122737142	20.16	18.11342016	3.083760165	-412.2501887
1	1.4	15	35	60	Test3	0.0585	9.3493	9.3493	0.3977	0.3977	101.6912543	-101.6912543	35	36.31276834	166.2962115	176.189548	13.14110412	20.16	21.51706988	3.033596331	-737.5524955
1	1.4	15	35	60	Test4	0.0585	11.6866	11.6866	0.4971	0.4971	131.74061	-131.74061	35	36.10462794	171.5574688	188.6806557	21.28055888	20.16	22.19782406	2.695817538	-1258.657626
1	1.4	15	35	70	Test1	0.0585	4.0068	4.0068	0.1988	0.1988	39.90197305	-39.90197305	35	36.50903333	99.718937	97.34698141	2.5816217	21.12	12.9026351	2.724244274	-216.1956717
1	1.4	15	35	70	Test2	0.0585	6.0103	6.0103	0.2982	0.2982	61.88969346	-61.88969346	35	36.48616413	143.2572159	147.9133014	6.006380394	21.12	18.53605382	3.137310097	-458.8325511
1	1.4	15	35	70	Test3	0.0585	8.0137	8.0137	0.3977	0.3977	85.23524007	-85.23524007	35	36.3691795	173.1953955	184.4894365	11.02952762	21.12	22.40975543	3.174444125	-801.4141142
1	1.4	15	35	70	Test4	0.0585	10.0171	10.0171	0.4971	0.4971	109.9386151	-109.9386151	35	36.17072272	182.922411	199.3721509	17.78287755	21.12	23.66833414	2.923427661	-1340.087728
1	1.4	15	35	80	Test1	0.0585	3.506	3.506	0.1988	0.1988	34.56582275	-34.58194652	35	36.53378118	98.82792158	100.5476258	2.223694232	22.08	12.7873466	2.664468814	-286.0236515
1	1.4	15	35	80	Test2	0.0585	5.259	5.259	0.2982	0.2982	53.39566074	-53.43073906	35	36.50288034	142.789014	150.3590618	5.153126984	22.08	18.47547316	3.123898206	-550.8750405
1	1.4	15	35	80	Test3	0.0585	7.012	7.012	0.3977	0.3977	73.2567853	-73.31807998	35	36.38845838	174.3199797	186.8471809	9.42744944	22.08	22.55526539	3.224402996	-925.3953154
1	1.4	15	35	80	Test4	0.0585	8.765	8.765	0.4971	0.4971	94.14919781	-94.24397069	35	36.19467051	186.3938798	202.0592928	15.14653394	22.08	24.11750755	3.038500159	-1493.976282
1	1.4	15	35	90	Test1	0.0585	3.1164	3.1164	0.1988	0.1988	30.49888365	-30.49888365	35	36.49239759	93.60669363	100.8220631	1.952585739	23.04	12.11177182	2.522795159	-275.5973063
1	1.4	15	35	90	Test2	0.0585	4.6746	4.6746	0.2982	0.2982	46.97060258	-46.97060258	35	36.44959065	135.4591019	147.8516726	4.510729242	23.04	17.5270557	3.005007945	-526.0913102
1	1.4	15	35	90	Test3	0.0585	6.2329	6.2329	0.3977	0.3977	64.2571743	-64.2571743	35	36.33264766	165.5402749	181.8037111	8.227803582	23.04	21.41925922	3.141952997	-893.0305415
1	1.4	15	35	90	Test4	0.0585	7.7911	7.7911	0.4971	0.4971	82.35859969	-82.35859969	35	36.1416673	176.9545979	195.1427743	13.18208017	23.04	22.89615869	2.99323189	-1443.075158
1	1.4	20	30	60	Test1	0.0585	4.6746	4.6746	0.1988	0.1988	47.14440224	-47.14440224	35	36.46275756	98.85431459	91.88204395	3.046043856	20.16	12.79076159	2.746196874	-200.9927011
1	1.4	20	30	60	Test2	0.0585	7.012	7.012	0.2982	0.2982	73.49251965	-73.49251965	35	36.43934815	140.2145034	141.387223	7.122737142	20.16	18.14235719	3.086719037	-429.8471768
1	1.4	20	30	60	Test3	0.0585	9.3493	9.3493	0.3977	0.3977	101.6912543	-101.6912543	35	36.31221927	166.5052467	175.8330853	13.14110412	20.16	21.54411695	3.03591167	-760.148227
1	1.4	20	30	60	Test4	0.0585	11.6866	11.6866	0.4971	0.4971	131.74061	-131.74061	35	36.10398379	171.7771414	188.2461766	21.28055888	20.16	22.2262475	2.698064362	-1285.517878
1	1.4	20	30	70	Test1	0.0585	4.0068	4.0068	0.1988	0.1988	39.90197305	-39.90197305	35	36.48474412	98.50884025	95.38412195	2.5816217	21.12	12.74606066	2.702746344	-242.0405369
1	1.4	20	30	70	Test2	0.0585	6.0103	6.0103	0.2982	0.2982	61.88969346	-61.88969346	35	36.45901399	141.0641829	144.7874501	6.006380394	21.12	18.25229723	3.108600565	-486.5746266
1	1.4	20	30	70	Test3	0.0585	8.0137	8.0137	0.3977	0.3977	85.23524007	-85.23524007	35	36.34008171	170.0553742	180.027306	11.02952762	21.12	22.00346801	3.1402764	-839.3846051
1	1.4	20	30	70	Test4	0.0585	10.0171	10.0171	0.4971	0.4971	109.9386151	-109.9386151	35	36.14097814	178.9135667	193.665616	17.78287755	21.12	23.1496297	2.883260881	-1388.030377
1	1.4	20	30	80	Test1	0.0585	3.506	3.506	0.1988	0.1988	34.56582275	-34.58194652	35	36.47174601	94.96549354	96.22649601	2.223694232	22.08	12.28758696	2.595303866	-282.4857003
1	1.4	20	30	80	Test2	0.0585	5.259	5.259	0.2982	0.2982	53.39566074	-53.43073906	35	36.43637284	136.5494211	143.4452206	5.153126984	22.08	17.66813211	3.041104499	-541.1457038
1	1.4	20	30	80	Test3	0.0585	7.012	7.012	0.3977	0.3977	73.2567853	-73.31807998	35	36.31706729	165.472026	176.8798494	9.42744944	22.08	21.4104285	3.126958836	-918.9565298
1	1.4	20	30	80	Test4	0.0585	8.765	8.765	0.4971	0.4971	94.14919781	-94.24397069	35	36.12146502	175.1491238	189.1893616	15.14653394	22.08	22.66254836	2.924558485	-1493.582485
1	1.4	20	30	90	Test1	0.0585	3.1164	3.1164	0.1988	0.1988	30.49888365	-30.49888365	35	36.41169161	88.42174923	95.34608569	1.952585739	23.04	11.44089177	2.426936852	-252.9710317
1	1.4	20	30	90	Test2	0.0585	4.6746	4.6746	0.2982	0.2982	46.97060258	-46.97060258	35	36.36369348	127.2213949	139.0784313	4.510729242	23.04	16.46117863	2.890613041	-494.3324056
1	1.4	20	30	90	Test3	0.0585	6.2329	6.2329	0.3977	0.3977	64.2571743	-64.2571743	35	36.24063406	153.8667128	169.1996394	8.227803582	23.04	19.90881681	3.006582139	-858.5847024
1	1.4	20	30	90	Test4	0.0585	7.7911	7.7911	0.4971	0.4971	82.35859969	-82.35859969	35	36.04772274	162.1647042	178.9526476	13.18208017	23.04	20.98249408	2.834820578	-1409.754926
1	1.4	25	25	60	Test1	0.0585	4.6746	4.6746	0.1988	0.1988	47.14440224	-47.14440224	35	36.43984246	97.67131088	90.07613461	3.046043856	20.16	12.63769272	2.724919894	-221.7878673
1	1.4	25	25	60	Test2	0.0585	7.012	7.012	0.2982	0.2982	73.49251965	-73.49251965	35	36.41381736	138.1142783	138.4928671	7.122737142	20.16	17.87060902	3.058782793	-452.4806657
1	1.4	25	25	60	Test3	0.0585	9.3493	9.3493	0.3977	0.3977	101.6912543	-101.6912543	35	36.28496867	163.5171931	171.7115505	13.14110412	20.16	21.15749264	3.00259652	-791.3810932
1	1.4	25	25	60	Test4	0.0585	11.6866	11.6866	0.4971	0.4971	131.74061	-131.74061	35	36.07632732	167.9909221	183.0116911	21.28055888	20.16	21.73634851	2.659055801	-1324.698913
1	1.4	25	25	70	Test1	0.0585	4.0068	4.0068	0.1988	0.1988	39.90197305	-39.90197305	35	36.42685477	94.99949786	91.3328256	2.5816217	21.12	12.29198678	2.639343535	-245.5926241
1	1.4	25	25	70	Test2	0.0585	6.0103	6.0103	0.2982	0.2982	61.88969346	-61.88969346	35	36.3965227	135.3433743	138.2649852	6.006380394	21.12	17.51208171	3.031990081	-486.233275
1	1.4	25	25	70	Test3	0.0585	8.0137	8.0137	0.3977	0.3977	85.23524007	-85.23524007	35	36.27295372	161.9061874	170.6379881	11.02952762	21.12	20.94904458	3.049162731	-843.9535621
