f[Hz]	Hmax[T]	MagPeriod [s]	FieldPeriod[s]	F[%]	Test	Re_w[-]	ReDp_CB[-]	ReDp_HB[-]	U_CB[-]	U_HB[-]	dPCB[kPa]	dPHB[kPa]	Tspan [K]	dT_reg[K]	Qc[W]	Qh[W]	Wpump[W]	Wvalv[W]	Wmotor[W]	COP[-]	Q_wall-Loss[W]
1	1.2	10	40	90	Test2	0.0585	4.6746	4.6746	0.2982	0.2982	46.97060258	-46.97060258	35	36.15819236	108.9436152	117.5665805	4.510729242	23.04	14.09621638	2.615884876	-528.6459005
1	1.2	10	40	90	Test3	0.0585	6.2329	6.2329	0.3977	0.3977	64.2571743	-64.2571743	35	36.02127568	127.5868098	138.8435763	8.227803582	23.04	16.50845968	2.670506254	-887.3032774
1	1.2	10	40	90	Test4	0.0585	7.7911	7.7911	0.4971	0.4971	82.35859969	-82.35859969	35	35.81731987	127.3693292	139.3813012	13.18208017	23.04	16.48031985	2.416765254	-1437.956738
1	1.2	15	35	60	Test1	0.0585	4.6746	4.6746	0.1988	0.1988	47.14440224	-47.14440224	35	36.10307278	76.48973465	67.31934903	3.046043856	20.16	9.89700818	2.310655059	-172.456316
1	1.2	15	35	60	Test2	0.0585	7.012	7.012	0.2982	0.2982	73.49251965	-73.49251965	35	36.06049009	104.9455006	102.5098797	7.122737142	20.16	13.57890027	2.568313638	-382.9451778
1	1.2	15	35	60	Test3	0.0585	9.3493	9.3493	0.3977	0.3977	101.6912543	-101.6912543	35	35.9113114	116.8459203	120.8722363	13.14110412	20.16	15.11869579	2.4131847	-707.563299
1	1.2	15	35	60	Test4	0.0585	11.6866	11.6866	0.4971	0.4971	131.74061	-131.74061	35	35.69233501	108.0999212	117.6416246	21.28055888	20.16	13.9870508	1.950290149	-1236.118956
1	1.2	15	35	70	Test1	0.0585	4.0068	4.0068	0.1988	0.1988	39.90197305	-39.90197305	35	36.15261488	77.73718788	72.76193521	2.5816217	21.12	10.05841618	2.302639237	-201.5660065
1	1.2	15	35	70	Test2	0.0585	6.0103	6.0103	0.2982	0.2982	61.88969346	-61.88969346	35	36.11093005	108.5205442	109.111198	6.006380394	21.12	14.04147522	2.636050448	-427.2300848
1	1.2	15	35	70	Test3	0.0585	8.0137	8.0137	0.3977	0.3977	85.23524007	-85.23524007	35	35.9701693	123.9714276	129.4457012	11.02952762	21.12	16.04066531	2.572544746	-766.2263123
1	1.2	15	35	70	Test4	0.0585	10.0171	10.0171	0.4971	0.4971	109.9386151	-109.9386151	35	35.75902471	119.4721774	128.3409626	17.78287755	21.12	15.45850724	2.197739772	-1312.945683
1	1.2	15	35	80	Test1	0.0585	3.506	3.506	0.1988	0.1988	34.56582275	-34.58194652	35	36.18250908	77.1613501	76.3113629	2.223694232	22.08	9.98390852	2.250415424	-269.7328943
1	1.2	15	35	80	Test2	0.0585	5.259	5.259	0.2982	0.2982	53.39566074	-53.43073906	35	36.13350818	108.6164595	112.1396286	5.153126984	22.08	14.0538857	2.630765764	-519.2376743
1	1.2	15	35	80	Test3	0.0585	7.012	7.012	0.3977	0.3977	73.2567853	-73.31807998	35	35.99444802	125.7164079	132.5056112	9.42744944	22.08	16.26644834	2.631487354	-887.5149665
1	1.2	15	35	80	Test4	0.0585	8.765	8.765	0.4971	0.4971	94.14919781	-94.24397069	35	35.78697297	123.5465291	131.7654594	15.14653394	22.08	15.98568769	2.321769799	-1462.483153
1	1.2	15	35	90	Test1	0.0585	3.1164	3.1164	0.1988	0.1988	30.49888365	-30.49888365	35	36.15244064	72.87578374	77.13602659	1.952585739	23.04	9.429399	2.117129047	-279.8499373
1	1.2	15	35	90	Test2	0.0585	4.6746	4.6746	0.2982	0.2982	46.97060258	-46.97060258	35	36.09064462	102.5524797	110.4346806	4.510729242	23.04	13.26926724	2.512309861	-521.3247046
1	1.2	15	35	90	Test3	0.0585	6.2329	6.2329	0.3977	0.3977	64.2571743	-64.2571743	35	35.94910794	118.5413109	128.6449771	8.227803582	23.04	15.3380624	2.543484782	-883.9419891
1	1.2	15	35	90	Test4	0.0585	7.7911	7.7911	0.4971	0.4971	82.35859969	-82.35859969	35	35.74488678	116.0897229	126.5096234	13.18208017	23.04	15.02085139	2.265477782	-1438.969703
1	1.2	20	30	60	Test1	0.0585	4.6746	4.6746	0.1988	0.1988	47.14440224	-47.14440224	35	36.10359318	76.71209333	67.16198419	3.046043856	20.16	9.92577917	2.315359866	-186.8419427
1	1.2	20	30	60	Test2	0.0585	7.012	7.012	0.2982	0.2982	73.49251965	-73.49251965	35	36.06025917	105.1475194	102.2593059	7.122737142	20.16	13.60503947	2.571612547	-400.4937201
1	1.2	20	30	60	Test3	0.0585	9.3493	9.3493	0.3977	0.3977	101.6912543	-101.6912543	35	35.91072391	117.0330489	120.5279566	13.14110412	20.16	15.14290836	2.415841358	-729.924821
1	1.2	20	30	60	Test4	0.0585	11.6866	11.6866	0.4971	0.4971	131.74061	-131.74061	35	35.69169949	108.2989856	117.2309573	21.28055888	20.16	14.01280775	1.952974042	-1262.326555
1	1.2	20	30	70	Test1	0.0585	4.0068	4.0068	0.1988	0.1988	39.90197305	-39.90197305	35	36.13099943	76.67558765	70.99948923	2.5816217	21.12	9.9210557	2.280472395	-226.8702948
1	1.2	20	30	70	Test2	0.0585	6.0103	6.0103	0.2982	0.2982	61.88969346	-61.88969346	35	36.08637847	106.5726243	106.2485021	6.006380394	21.12	13.78943383	2.604680521	-457.000815
1	1.2	20	30	70	Test3	0.0585	8.0137	8.0137	0.3977	0.3977	85.23524007	-85.23524007	35	35.9438408	121.1624701	125.375308	11.02952762	21.12	15.67721424	2.533362411	-806.548981
1	1.2	20	30	70	Test4	0.0585	10.0171	10.0171	0.4971	0.4971	109.9386151	-109.9386151	35	35.73264199	115.951701	123.2436696	17.78287755	21.12	15.00299273	2.151003228	-1361.961544
1	1.2	20	30	80	Test1	0.0585	3.506	3.506	0.1988	0.1988	34.56582275	-34.58194652	35	36.12680809	73.74007176	72.386386	2.223694232	22.08	9.54122925	2.17876314	-272.0199079
1	1.2	20	30	80	Test2	0.0585	5.259	5.259	0.2982	0.2982	53.39566074	-53.43073906	35	36.0724814	102.9607169	105.7318247	5.153126984	22.08	13.32208906	2.538778655	-518.8525219
1	1.2	20	30	80	Test3	0.0585	7.012	7.012	0.3977	0.3977	73.2567853	-73.31807998	35	35.92938166	117.7171174	123.3639552	9.42744944	22.08	15.23142	2.518612855	-892.5887604
1	1.2	20	30	80	Test4	0.0585	8.765	8.765	0.4971	0.4971	94.14919781	-94.24397069	35	35.72171618	113.5857129	120.2347761	15.14653394	22.08	14.69685749	2.187563442	-1472.480425
1	1.2	20	30	90	Test1	0.0585	3.1164	3.1164	0.1988	0.1988	30.49888365	-30.49888365	35	36.08124594	68.33960985	72.27829016	1.952585739	23.04	8.84246338	2.019787517	-264.3271179
