f[Hz],H[mm],H_max[T],U_HB[-],dPCB[kPa],Tspan[K],Qc[W],Qh[W],Wpump[W],Wvalv[W],Wmotor[W],COP[-]
1,15,1.3,0.1988,19.02445271,20,68.31495398,90.01509038,1.36930622,91.96,4.91474489,0.6954
1,15,1.3,0.3977,41.05816915,20,130.2836951,171.2062796,5.91006451,91.96,9.37292771,1.2148
1,15,1.3,0.5965,66.10116666,20,176.7994681,240.5820077,14.27161757,91.96,12.7193862,1.4863
1,15,1.3,0.7953,94.15347069,20,194.745361,286.0254006,27.10338115,91.96,14.01045763,1.4634
1,15,1.3,0.9942,125.2151056,20,162.6843863,287.02662,45.05481464,91.96,11.70391268,1.0939
1,15,1.4,0.1988,19.02445271,20,81.47065356,105.1490483,1.36930622,91.96,5.8611981,0.8214
1,15,1.4,0.3977,41.05816915,20,157.0438235,201.37316,5.91006451,91.96,11.2981168,1.4385
1,15,1.4,0.5965,66.10116666,20,217.5385618,286.1332973,14.27161757,91.96,15.65025625,1.7848
1,15,1.4,0.7953,94.15347069,20,249.6898849,347.1532379,27.10338115,91.96,17.96330107,1.8222
1,15,1.4,0.9942,125.2151056,20,231.9034802,363.7575647,45.05481464,91.96,16.68370361,1.5088
1,20,0.9,0.1988,19.02445271,20,24.74291409,43.67132645,1.82574163,91.96,1.78006576,0.2589
1,20,0.9,0.3977,41.05816915,20,37.19092953,74.07884993,7.88008601,91.96,2.67560644,0.3628
1,20,0.9,0.5965,66.10116666,20,25.32249474,85.22012742,19.02882343,91.96,1.82176221,0.2245
1,20,0.9,0.7953,94.15347069,20,-27.60693608,61.71659501,36.13784153,91.96,-1.98611051,-0.2189
1,20,0.9,0.9942,125.2151056,20,-149.0481283,-22.56764789,60.07308618,91.96,-10.72288693,-1.0548
1,20,1,0.1988,19.02445271,20,43.44747761,65.19110469,1.82574163,91.96,3.12571781,0.4483
1,20,1,0.3977,41.05816915,20,75.96734025,117.9008709,7.88008601,91.96,5.46527628,0.7214
1,20,1,0.5965,66.10116666,20,85.51088529,152.614598,19.02882343,91.96,6.15186225,0.73
1,20,1,0.7953,94.15347069,20,55.11666379,153.7292309,36.13784153,91.96,3.96522761,0.4174
1,20,1,0.9942,125.2151056,20,-43.03874775,94.70887415,60.07308618,91.96,-3.09631279,-0.289
1,20,1.1,0.1988,19.02445271,20,62.83658755,87.28492774,1.82574163,91.96,4.52061781,0.6392
1,20,1.1,0.3977,41.05816915,20,115.7491368,162.5060439,7.88008601,91.96,8.32727603,1.0701
1,20,1.1,0.5965,66.10116666,20,146.5466828,220.5487588,19.02882343,91.96,10.54292682,1.2058
1,20,1.1,0.7953,94.15347069,20,137.9694278,245.4957199,36.13784153,91.96,9.92585811,0.9996
1,20,1.1,0.9942,125.2151056,20,61.90345314,210.5249445,60.07308618,91.96,4.45348584,0.3956
1,20,1.2,0.1988,19.02445271,20,81.74211869,108.8482781,1.82574163,91.96,5.88072796,0.8202
1,20,1.2,0.3977,41.05816915,20,154.3340392,205.768826,7.88008601,91.96,11.10316828,1.3911
1,20,1.2,0.5965,66.10116666,20,205.4408464,286.10241,19.02882343,91.96,14.77991701,1.6335
1,20,1.2,0.7953,94.15347069,20,217.5322553,333.6585207,36.13784153,91.96,15.64980254,1.5133
1,20,1.2,0.9942,125.2151056,20,162.2638412,321.3687493,60.07308618,91.96,11.67365764,0.9912
1,20,1.3,0.1988,19.02445271,20,99.78533664,129.5496761,1.82574163,91.96,7.1788012,0.9883
1,20,1.3,0.3977,41.05816915,20,191.0916643,247.1356366,7.88008601,91.96,13.74760175,1.6823
1,20,1.3,0.5965,66.10116666,20,261.4690924,348.6536222,19.02882343,91.96,18.81072607,2.0144
1,20,1.3,0.7953,94.15347069,20,293.1601562,417.6796095,36.13784153,91.96,21.09065872,1.965
1,20,1.3,0.9942,125.2151056,20,257.5886167,426.8973531,60.07308618,91.96,18.53155516,1.5102
1,20,1.4,0.1988,19.02445271,20,117.051357,149.5038846,1.82574163,91.96,8.42096094,1.1452
1,20,1.4,0.3977,41.05816915,20,226.2204321,286.8570049,7.88008601,91.96,16.27485123,1.9482
1,20,1.4,0.5965,66.10116666,20,314.9707567,408.6173774,19.02882343,91.96,22.65976667,2.3567
1,20,1.4,0.7953,94.15347069,20,365.3591757,498.1647156,36.13784153,91.96,26.28483278,2.3666
1,20,1.4,0.9942,125.2151056,20,348.594224,527.9487445,60.07308618,91.96,25.07872115,1.9682
1,25,0.9,0.1988,19.02445271,20,39.25962555,63.64112627,2.28217703,91.96,2.82443349,0.4045
1,25,0.9,0.3977,41.05816915,20,63.35693792,110.8704873,9.85010751,91.96,4.55805309,0.5956
1,25,0.9,0.5965,66.10116666,20,57.02496204,133.9893867,23.78602928,91.96,4.10251525,0.4758
1,25,0.9,0.7953,94.15347069,20,-0.88357423,113.5569631,45.17230192,91.96,-0.06356649,-0.0064
1,25,0.9,0.9942,125.2151056,20,-144.7042174,16.9008657,75.09135773,91.96,-10.41037535,-0.9238
1,25,1,0.1988,19.02445271,20,63.23183364,91.14156294,2.28217703,91.96,4.54905278,0.6401
1,25,1,0.3977,41.05816915,20,112.8957664,166.7135006,9.85010751,91.96,8.12199759,1.027
1,25,1,0.5965,66.10116666,20,133.632829,219.5983951,23.78602928,91.96,9.61387259,1.066
1,25,1,0.7953,94.15347069,20,103.9752741,230.0222914,45.17230192,91.96,7.48023555,0.719
1,25,1,0.9942,125.2151056,20,-10.86623613,164.8307588,75.09135773,91.96,-0.78174361,-0.0654
1,25,1.1,0.1988,19.02445271,20,87.53304826,118.8395334,2.28217703,91.96,6.2973416,0.8706
1,25,1.1,0.3977,41.05816915,20,162.6560728,222.4962985,9.85010751,91.96,11.70187574,1.4329
1,25,1.1,0.5965,66.10116666,20,209.8090262,304.3664269,23.78602928,91.96,15.09417454,1.6036
1,25,1.1,0.7953,94.15347069,20,207.1456132,344.2934764,45.17230192,91.96,14.9025621,1.3625
1,25,1.1,0.9942,125.2151056,20,119.5537195,308.7892892,75.09135773,91.96,8.60098702,0.6806
1,25,1.2,0.1988,19.02445271,20,110.8706364,145.538162,2.28217703,91.96,7.97630477,1.0846
1,25,1.2,0.3977,41.05816915,20,210.2837111,275.9974187,9.85010751,91.96,15.12832454,1.7982
1,25,1.2,0.5965,66.10116666,20,282.5075642,385.4025273,23.78602928,91.96,20.3242852,2.0762
1,25,1.2,0.7953,94.15347069,20,305.369909,453.2586895,45.17230192,91.96,21.9690582,1.9193
1,25,1.2,0.9942,125.2151056,20,243.4598232,445.7718921,75.09135773,91.96,17.51509519,1.3191
1,25,1.3,0.1988,19.02445271,20,133.1232189,171.1581722,2.28217703,91.96,9.57720999,1.2823
1,25,1.3,0.3977,41.05816915,20,255.6258552,327.1388783,9.85010751,91.96,18.39034929,2.1267
1,25,1.3,0.5965,66.10116666,20,351.6449997,462.7261759,23.78602928,91.96,25.29820142,2.4932
1,25,1.3,0.7953,94.15347069,20,398.7353667,557.1362336,45.17230192,91.96,28.68599761,2.4047
1,25,1.3,0.9942,125.2151056,20,361.1925122,576.2656688,75.09135773,91.96,25.98507282,1.8711
1,25,1.4,0.1988,19.02445271,20,154.4693581,195.9138813,2.28217703,91.96,11.11290346,1.4662
1,25,1.4,0.3977,41.05816915,20,299.0601322,376.3675582,9.85010751,91.96,21.51511743,2.425
1,25,1.4,0.5965,66.10116666,20,417.8167723,537.0293659,23.78602928,91.96,30.05876059,2.8656
1,25,1.4,0.7953,94.15347069,20,488.0710116,656.8804526,45.17230192,91.96,35.11302242,2.8336
1,25,1.4,0.9942,125.2151056,20,473.8427418,701.5165641,75.09135773,91.96,34.08940588,2.3558
1,30,0.9,0.1988,19.02445271,20,55.40551598,85.35478277,2.73861244,91.96,3.98600834,0.5614
1,30,0.9,0.3977,41.05816915,20,92.76587838,151.1239682,11.82012901,91.96,6.6738042,0.8399
1,30,0.9,0.5965,66.10116666,20,93.49925469,187.8613951,28.54323514,91.96,6.72656509,0.7349
1,30,0.9,0.7953,94.15347069,20,32.00934484,172.0139139,54.2067623,91.96,2.30283056,0.2156
1,30,0.9,0.9942,125.2151056,20,-132.9065981,64.39611195,90.10962927,91.96,-9.56162576,-0.7704
1,30,1,0.1988,19.02445271,20,84.5960523,118.7881618,2.73861244,91.96,6.08604693,0.8394
1,30,1,0.3977,41.05816915,20,152.9792843,218.8956745,11.82012901,91.96,11.00570391,1.3327
1,30,1,0.5965,66.10116666,20,186.386702,291.5279643,28.54323514,91.96,13.40911525,1.3919
1,30,1,0.7953,94.15347069,20,158.7605089,312.661559,54.2067623,91.96,11.42161934,1.0074
1,30,1,0.9942,125.2151056,20,28.3781462,242.5745956,90.10962927,91.96,2.04159325,0.1541
1,30,1.1,0.1988,19.02445271,20,113.6458491,151.9400552,2.73861244,91.96,8.17596036,1.1047
